species	x	y
p_rigida	-48.95280075	-16.32670021
p_rigida	-49.22809982	-16.96220016
p_rigida	-47.693443	-15.574749
p_rigida	-45.766389	-6.593333
p_rigida	-45.879722	-6.626111
p_rigida	-54.578378	-16.465103
p_rigida	-56.014028	-15.323139
p_rigida	-46.009444	-17.009722
p_rigida	-57.22750092	-15.32439995
p_rigida	-44.18000031	-17.87330055
p_rigida	-44.36309814	-6.370830059
p_rigida	-48.284722	-22.8
p_rigida	-47.666667	-15.916667
p_rigida	-48.738611	-22.566667
p_rigida	-48.738611	-22.9
p_rigida	-43.583333	-19.266667
p_rigida	-48.97999954	-22.45999908
p_rigida	-48.743278	-22.813944
p_rigida	-48.491944	-22.891944
p_rigida	-48.733333	-22.8
p_rigida	-45.91749954	-20.76169968
p_rigida	-48	-17
p_rigida	-51.783333	-17.2
p_rigida	-48.1963889	-16.3361111
p_rigida	-47.3094444	-16.0375
p_rigida	-47.4955555	-10.7052778
p_rigida	-47.88999939	-22.01000023
p_rigida	-51.41889954	-20.36720085
p_rigida	-47.47000122	-20.25
p_rigida	-47.6	-21.633333
p_rigida	-47.433333	-20.216667
p_rigida	-48	-23.566667
p_rigida	-48.04999924	-23.59000015
p_rigida	-50.40999985	-22.65999985
p_rigida	-49.078611	-24.076667
p_rigida	-49.068611	-24.075
p_rigida	-49.056944	-24.080556
p_rigida	-49.071667	-24.046667
p_rigida	-48.814722	-23.013889
p_rigida	-48.27719879	-18.91860008
p_rigida	-47	-15
p_rigida	-43.39080048	-18.00419998
p_rigida	-44	-19
p_rigida	-52.25080109	-15.89750004
p_rigida	-43.88970184	-19.62719917
p_rigida	-44.43080139	-18.75639915
p_rigida	-48.26666667	-16.33333333
p_rigida	-52.34861111	-14.69027778
p_rigida	-47.93666667	-15.66333333
p_rigida	-46.85390091	-20.34390068
p_rigida	-49.46360016	-24.1128006
p_rigida	-47.61420059	-15.4527998
p_rigida	-53.20529938	-17.32559967
p_rigida	-42.871667	-16.557222
p_rigida	-49.574722	-24.152778
p_rigida	-46.31140137	-20.71809959
p_rigida	-47.55	-16.766667
p_rigida	-47.117222	-10.416944
p_rigida	-48.161111	-16.248333
p_rigida	-47.309444	-16.0375
p_rigida	-48.121111	-13.461944
p_rigida	-48.196389	-16.336111
p_rigida	-55.7875	-20.471667
p_rigida	-47.614444	-15.453333
p_rigida	-47.6666667	-14.1333333
p_rigida	-52.8666667	-18.2
p_rigida	-47.7833333	-14.15
p_rigida	-47.7666667	-14.1666667
p_rigida	-48.6	-16.65
p_rigida	-56.48920059	-15.23560047
p_rigida	-55.9333333	-15.2666667
p_rigida	-49.46500015	-18.96890068
p_rigida	-47.7166667	-15.7833333
p_rigida	-47.65	-21.5333333
p_rigida	-47.88333	-15.63333
p_rigida	-48.1166667	-23.6333333
p_rigida	-49.0666667	-11.7166667
p_rigida	-48.4333333	-22.8833333
p_rigida	-55.8333333	-15.3833333
p_rigida	-43.5666667	-19.2833333
p_rigida	-43.5833333	-18.2166667
p_rigida	-47.9166667	-15.7666667
p_rigida	-43.8833333	-19.6166667
p_rigida	-47.6666667	-19.15
p_rigida	-47.1666667	-20.2
p_rigida	-43.7333333	-18.45
p_rigida	-44.1833333	-17.75
p_rigida	-51.1666667	-14.25
p_rigida	-47.3333333	-21.0833333
p_rigida	-46.8666667	-18.7166667
p_rigida	-47.5	-22.0333333
p_rigida	-43.5166667	-18.1
p_rigida	-47.4333333	-20.2
p_rigida	-47.7666667	-15.7833333
p_rigida	-45.8333333	-18.3333333
p_rigida	-50.1333333	-16.0666667
p_rigida	-46.8833333	-22.3666667
p_rigida	-47.8166667	-22.25
p_rigida	-47.1833333	-22.2833333
p_rigida	-47.7833333	-15.8
p_rigida	-49.0525	-24.0736111
p_rigida	-47.6333333	-14.15
p_rigida	-49.1833333	-22.7833333
p_rigida	-47.8830556	-22.1802778
p_rigida	-56	-13.2
p_rigida	-54.5	-20.9666667
p_rigida	-42.85	-16.5
p_rigida	-47.8166667	-15.8333333
p_rigida	-47.0666667	-19.5166667
p_rigida	-47.8877777	-15.7444444
p_rigida	-48.1333333	-16.2166667
p_rigida	-56.4333333	-14.4
p_rigida	-47.6833333	-15.85
p_rigida	-55.7833333	-20.4666667
p_rigida	-44.4	-19.2666667
p_rigida	-55.61666	-22.56666
p_rigida	-43.5	-18.1666667
p_rigida	-43.75	-18.0833333
p_rigida	-43.2833333	-16.4166667
p_rigida	-54.6133333	-20.5091667
p_rigida	-55.6372222	-20.4438889
p_rigida	-53.4025	-22.0622222
p_rigida	-44.4455986	-17.23559952
p_rigida	-53.5425	-18.0925
p_rigida	-53.3052778	-18.2380555
p_rigida	-53.3761111	-18.1083333
p_rigida	-54.4530556	-21.2375
p_rigida	-54.04389954	-19.53140068
p_rigida	-43.685	-18.299444
p_rigida	-56.09669876	-15.59609985
p_rigida	-45.826944	-11.877778
p_rigida	-43.601111	-18.157222
p_rigida	-43.433333	-17.766667
p_rigida	-48.416667	-10.8
p_rigida	-43.589444	-18.220833
p_rigida	-45.316667	-12.066667
p_rigida	-47.816667	-22.25
p_rigida	-47.716667	-15.080556
p_rigida	-55.5	-15.8
p_rigida	-55.933333	-15.266667
p_rigida	-55.75	-15.5
p_rigida	-56	-15.6
p_rigida	-56.4	-15.1
p_rigida	-58.1	-12.7
